workflow	mode	status	run	completed_at	evidence_file	note
nf-core_hic	single	running	20028-single	2026-05-21 23:27:36	runs/nf-core_hic/slurm-20028-single.out	active in squeue; do not classify final
nf-core_mag	single	fail	20031-single	2026-05-21 10:55:18	runs/nf-core_mag/slurm-20031-single.out	scanner_status
nf-core_methylseq	single	running	20034-single	2026-05-21 23:26:47	runs/nf-core_methylseq/slurm-20034-single.out	active in squeue; do not classify final
nf-core_mhcquant	single	fail	20037-single	2026-05-21 10:40:26	runs/nf-core_mhcquant/slurm-20037-single.out	scanner_status
nf-core_nascent	single	fail	20001-single	2026-05-21 01:42:30	runs/nf-core_nascent/slurm-20001-single.out	scanner_status
nf-core_pathogensurveillance	single	fail	19918-single	2026-05-20 19:26:24	runs/nf-core_pathogensurveillance/slurm-19918-single.out	scanner_status
nf-core_proteinfold	single	fail	19921-single	2026-05-20 17:51:38	runs/nf-core_proteinfold/slurm-19921-single.out	scanner_status
nf-core_quantms	single	fail	19950-single	2026-05-20 21:45:34	runs/nf-core_quantms/slurm-19950-single.out	scanner_status
nf-core_rnaseq	single	fail	20040-single	2026-05-21 12:53:03	runs/nf-core_rnaseq/slurm-20040-single.out	scanner_status
nf-core_sarek	single	fail	20043-single	2026-05-21 22:49:33	runs/nf-core_sarek/slurm-20043-single.out	scanner_status
nf-core_scnanoseq	single	unknown	19930-single	2026-05-20 17:51:53	runs/nf-core_scnanoseq/slurm-19930-single.out	scanner_status
nf-core_scrnaseq	single	fail	19953-single	2026-05-21 12:15:13	runs/nf-core_scrnaseq/slurm-19953-single.out	scanner_status
nf-core_smrnaseq	single	fail	20047-single	2026-05-21 13:58:34	runs/nf-core_smrnaseq/slurm-20047-single.out	scanner_status
nf-core_spatialvi	single	fail	19989-single	2026-05-21 00:22:03	runs/nf-core_spatialvi/slurm-19989-single.out	scanner_status
nf-core_taxprofiler	single	fail	19974-single	2026-05-21 01:35:51	runs/nf-core_taxprofiler/slurm-19974-single.out	scanner_status
nf-core_tumourevo	single	fail	20019-single	2026-05-21 06:28:08	runs/nf-core_tumourevo/slurm-20019-single.out	scanner_status
nf-core_viralintegration	other	fail	18846-probe	2026-05-19 19:21:13	runs/nf-core_viralintegration/slurm-18846-probe.out	scanner_status
nf-core_viralintegration	single	unknown	19965-single	2026-05-20 22:15:01	runs/nf-core_viralintegration/slurm-19965-single.out	scanner_status
nf-core_viralrecon	single	fail	20050-single	2026-05-21 16:28:09	runs/nf-core_viralrecon/slurm-20050-single.out	scanner_status
nwchem	multi	pass	18999-4node	2026-05-19 22:03:41	runs/nwchem/slurm-18999-4node.out	wrapper completion message
nwchem	single	pass	18896-single	2026-05-19 20:52:13	runs/nwchem/slurm-18896-single.out	wrapper completion message
nwchem	trace	pass	19229-4node-profiled	2026-05-20 03:53:11	runs/nwchem/slurm-19229-4node-profiled.out	scanner_status
parsl	multi	pass	18998-4node	2026-05-19 21:47:32	runs/parsl/slurm-18998-4node.out	scanner_status
parsl	single	pass	18900-single	2026-05-19 20:33:58	runs/parsl/slurm-18900-single.out	scanner_status
parsl	trace	pass	19101-4node-profiled	2026-05-19 23:34:37	runs/parsl/slurm-19101-4node-profiled.out	scanner_status
pegasus	multi	pass	19001-4node	2026-05-19 21:37:13	runs/pegasus/slurm-19001-4node.out	scanner_status
pegasus	single	pass	18906-single	2026-05-19 20:38:06	runs/pegasus/slurm-18906-single.out	scanner_status
pegasus	trace	pass	19053-4node-profiled	2026-05-19 22:15:05	runs/pegasus/slurm-19053-4node-profiled.out	scanner_status
radical.pilot	multi	pass	18997-4node	2026-05-19 21:54:20	runs/radical.pilot/slurm-18997-4node.out	scanner_status
radical.pilot	single	pass	18903-single	2026-05-19 20:35:07	runs/radical.pilot/slurm-18903-single.out	scanner_status
radical.pilot	trace	pass	19080-4node-profiled	2026-05-19 23:30:03	runs/radical.pilot/slurm-19080-4node-profiled.out	scanner_status
rna-seq-star-deseq2	multi	pass	19117-4node	2026-05-20 00:15:30	runs/rna-seq-star-deseq2/slurm-19117-4node.out	wrapper completion message
rna-seq-star-deseq2	single	pass	18957-single	2026-05-19 23:00:45	runs/rna-seq-star-deseq2/slurm-18957-single.out	wrapper completion message
rna-seq-star-deseq2	trace	pass	19330-4node-profiled	2026-05-20 23:49:53	runs/rna-seq-star-deseq2/slurm-19330-4node-profiled.out	scanner_status
